                   0 0 0 | % | 0000 | 00 | 1 | 0
                  10 1 0 | % | 0000 | 00 | 1 | 0
                  20 0 0 | % | 0000 | 00 | 1 | 0
                  30 1 0 | % | 0000 | 00 | 1 | 0
                  40 0 1 | : | 0000 | 00 | 1 | 0
                  50 1 1 | : | 0000 | 00 | 1 | 0
                  60 0 0 | : | 0000 | 00 | 1 | 0
                  70 1 0 | : | 0000 | 00 | 1 | 0
                  80 0 1 | 0 | 0000 | 00 | 1 | 0
                  90 1 1 | 0 | 0000 | 00 | 1 | 0
                 100 0 0 | 0 | 0000 | 00 | 1 | 0
                 110 1 0 | 0 | 0000 | 00 | 1 | 0
                 120 0 1 | 2 | 0000 | 00 | 1 | 0
                 130 1 1 | 2 | 0000 | 00 | 1 | 0
                 140 0 0 | 2 | 0000 | 00 | 1 | 0
                 150 1 0 | 2 | 0000 | 00 | 1 | 0
                 160 0 1 | 0 | 0000 | 00 | 1 | 0
                 170 1 1 | 0 | 0000 | 00 | 1 | 0
                 180 0 0 | 0 | 0000 | 00 | 1 | 0
                 190 1 0 | 0 | 0000 | 00 | 1 | 0
                 200 0 1 | 0 | 0000 | 00 | 1 | 0
                 210 1 1 | 0 | 0000 | 00 | 1 | 0
                 220 0 0 | 0 | 0000 | 00 | 1 | 0
                 230 1 0 | 0 | 0000 | 00 | 1 | 0
                 240 0 1 | F | 0000 | 00 | 1 | 0
                 250 1 1 | F | 00f0 | 00 | 1 | 0
                 260 0 0 | F | 00f0 | 00 | 1 | 0
                 270 1 0 | F | 00f0 | 00 | 1 | 0
                 280 0 1 | F | 00f0 | 00 | 1 | 0
                 290 1 1 | F | 00ff | 00 | 1 | 0
                 300 0 0 | F | 00ff | 00 | 1 | 0
                 310 1 0 | F | 00ff | 00 | 1 | 0
                 320 0 1 | 0 | 00ff | 00 | 1 | 0
                 330 1 1 | 0 | 00ff | 00 | 1 | 0
                 340 0 0 | 0 | 00ff | 00 | 1 | 0
                 350 1 0 | 0 | 00ff | 00 | 1 | 0
                 360 0 1 | 0 | 00ff | 00 | 1 | 0
                 370 1 1 | 0 | 00ff | 00 | 1 | 0
                 380 0 0 | 0 | 00ff | 00 | 1 | 0
                 390 1 0 | 0 | 00ff | 00 | 1 | 0
                 400 0 1 | 3 | 00ff | 00 | 1 | 0
                 410 1 1 | 3 | 00ff | 30 | 1 | 0
                 420 0 0 | 3 | 00ff | 30 | 1 | 0
                 430 1 0 | 3 | 00ff | 30 | 1 | 0
                 440 0 1 | C | 00ff | 30 | 1 | 0
                 450 1 1 | C | 00ff | 3c | 0 | 0
                 460 0 0 | C | 00ff | 3c | 0 | 0
                 470 1 0 | C | 0100 | 3c | 1 | 0
                 480 0 1 | 0 | 0100 | 3c | 1 | 0
                 490 1 1 | 0 | 0100 | 0c | 1 | 0
                 500 0 0 | 0 | 0100 | 0c | 1 | 0
                 510 1 0 | 0 | 0100 | 0c | 1 | 0
                 520 0 1 | 0 | 0100 | 0c | 1 | 0
                 530 1 1 | 0 | 0100 | 00 | 0 | 0
                 540 0 0 | 0 | 0100 | 00 | 0 | 0
                 550 1 0 | 0 | 0101 | 00 | 1 | 0
                 560 0 1 | C | 0101 | 00 | 1 | 0
                 570 1 1 | C | 0101 | 00 | 1 | 0
                 580 0 0 | C | 0101 | 00 | 1 | 0
                 590 1 0 | C | 0101 | 00 | 1 | 0
                 600 0 1 | 3 | 0101 | 00 | 1 | 0
                 610 1 1 | 3 | 0101 | 00 | 1 | 0
                 620 0 0 | 3 | 0101 | 00 | 1 | 0
                 630 1 0 | 3 | 0101 | 00 | 1 | 0
                 640 0 1 |   | 0101 | 00 | 1 | 0
                 650 1 1 |   | 0101 | 00 | 1 | 0
                 660 0 0 |   | 0101 | 00 | 1 | 0
                 670 1 0 |   | 0101 | 00 | 1 | 0
                 680 0 1 | : | 0101 | 00 | 1 | 0
                 690 1 1 | : | 0101 | 00 | 1 | 0
                 700 0 0 | : | 0101 | 00 | 1 | 0
                 710 1 0 | : | 0101 | 00 | 1 | 0
                 720 0 1 | 0 | 0101 | 00 | 1 | 0
                 730 1 1 | 0 | 0101 | 00 | 1 | 0
                 740 0 0 | 0 | 0101 | 00 | 1 | 0
                 750 1 0 | 0 | 0101 | 00 | 1 | 0
                 760 0 1 | 0 | 0101 | 00 | 1 | 0
                 770 1 1 | 0 | 0101 | 00 | 1 | 0
                 780 0 0 | 0 | 0101 | 00 | 1 | 0
                 790 1 0 | 0 | 0101 | 00 | 1 | 0
                 800 0 1 | 0 | 0101 | 00 | 1 | 0
                 810 1 1 | 0 | 0101 | 00 | 1 | 0
                 820 0 0 | 0 | 0101 | 00 | 1 | 0
                 830 1 0 | 0 | 0101 | 00 | 1 | 0
                 840 0 1 | 0 | 0101 | 00 | 1 | 0
                 850 1 1 | 0 | 0001 | 00 | 1 | 0
                 860 0 0 | 0 | 0001 | 00 | 1 | 0
                 870 1 0 | 0 | 0001 | 00 | 1 | 0
                 880 0 1 | 0 | 0001 | 00 | 1 | 0
                 890 1 1 | 0 | 0001 | 00 | 1 | 0
                 900 0 0 | 0 | 0001 | 00 | 1 | 0
                 910 1 0 | 0 | 0001 | 00 | 1 | 0
                 920 0 1 | 0 | 0001 | 00 | 1 | 0
                 930 1 1 | 0 | 0000 | 00 | 1 | 0
                 940 0 0 | 0 | 0000 | 00 | 1 | 0
                 950 1 0 | 0 | 0000 | 00 | 1 | 0
                 960 0 1 | 0 | 0000 | 00 | 1 | 0
                 970 1 1 | 0 | 0000 | 00 | 1 | 0
                 980 0 0 | 0 | 0000 | 00 | 1 | 0
                 990 1 0 | 0 | 0000 | 00 | 1 | 0
                1000 0 1 | 1 | 0000 | 00 | 1 | 0
                1010 1 1 | 1 | 0000 | 00 | 1 | 0
                1020 0 0 | 1 | 0000 | 00 | 1 | 0
                1030 1 0 | 1 | 0000 | 00 | 1 | 0
                1040 0 1 | F | 0000 | 00 | 1 | 0
                1050 1 1 | F | 0000 | 00 | 1 | 0
                1060 0 0 | F | 0000 | 00 | 1 | 0
                1070 1 0 | F | 0000 | 00 | 1 | 0
                1080 0 1 | F | 0000 | 00 | 1 | 0
                1090 1 1 | F | 0000 | 00 | 1 | 0
                1100 0 0 | F | 0000 | 00 | 1 | 0
                1110 1 0 | F | 0000 | 00 | 1 | 0
