 Address -> Data (Time)
 0000 -> 00 (                 450)
 0001 -> 00 (                 530)
 0000 -> ff (                1130)
 0001 -> ff (                1210)
 0002 -> 6f (                1290)
 0003 -> 34 (                1370)
 0004 -> 43 (                1450)
 0005 -> fa (                1530)
 0006 -> ff (                1610)
 0007 -> f6 (                2210)
 0008 -> ff (                2290)
 0009 -> ff (                2370)
 000a -> ff (                2450)
 000b -> ff (                2530)
 000c -> ff (                2610)
 000d -> ff (                2690)
 000e -> ff (                2770)
 000f -> ff (                2850)
 0010 -> ff (                2930)
 0011 -> ff (                3010)
 0012 -> ff (                3090)
 0013 -> ff (                3170)
 0014 -> ff (                3250)
 0015 -> ff (                3330)
 0016 -> ff (                3410)
 0017 -> ff (                3490)
 0018 -> ff (                3570)
 0019 -> ff (                3650)
 001a -> ff (                3730)
 001b -> ff (                3810)
 001c -> ff (                3890)
 001d -> ff (                3970)
 001e -> ff (                4050)
 001f -> ff (                4130)
 0020 -> ff (                4210)
 0021 -> ff (                4290)
 0022 -> ff (                4370)
 0023 -> ff (                4450)
 0024 -> ff (                4530)
 0025 -> ff (                4610)
 0026 -> ff (                4690)
 0027 -> ff (                4770)
 0028 -> ff (                4850)
 0029 -> ff (                4930)
 002a -> ff (                5010)
 002b -> ff (                5090)
 002c -> 20 (                5690)
 002d -> 20 (                5770)
 002e -> 04 (                5850)
 002f -> 84 (                5930)
 0030 -> 80 (                6010)
 0031 -> 10 (                6090)
 0032 -> 10 (                6170)
 0033 -> 02 (                6250)
 0034 -> 42 (                6330)
 0035 -> 40 (                6410)
 0036 -> 08 (                6490)
 0037 -> 08 (                6570)
 0038 -> 01 (                6650)
 0039 -> 21 (                6730)
 003a -> 20 (                6810)
 003b -> 04 (                6890)
 003c -> 84 (                6970)
 003d -> 80 (                7050)
 003e -> 10 (                7130)
 003f -> 10 (                7210)
 0040 -> 02 (                7290)
 0041 -> 42 (                7370)
 0042 -> 40 (                7450)
 0043 -> 08 (                7530)
 0044 -> 08 (                7610)
 0045 -> 01 (                7690)
 0046 -> 21 (                7770)
 0047 -> 20 (                7850)
 0048 -> 04 (                7930)
 0049 -> 84 (                8010)
 004a -> 80 (                8090)
 004b -> 10 (                8170)
 004c -> 10 (                8250)
 004d -> 02 (                8330)
 004e -> 02 (                8410)
 004f -> fc (                8490)
 0050 -> fd (                8570)
 0051 -> 00 (                9170)
 0052 -> 20 (                9250)
 0053 -> 00 (                9330)
 0054 -> 04 (                9410)
 0055 -> 80 (                9490)
 0056 -> 00 (                9570)
 0057 -> 10 (                9650)
 0058 -> 00 (                9730)
 0059 -> 02 (                9810)
 005a -> 40 (                9890)
 005b -> 00 (                9970)
 005c -> 08 (               10050)
 005d -> 00 (               10130)
 005e -> 01 (               10210)
 005f -> 20 (               10290)
 0060 -> 00 (               10370)
 0061 -> 04 (               10450)
 0062 -> 80 (               10530)
 0063 -> 00 (               10610)
 0064 -> 10 (               10690)
 0065 -> 00 (               10770)
 0066 -> 02 (               10850)
 0067 -> 40 (               10930)
 0068 -> 00 (               11010)
 0069 -> 08 (               11090)
 006a -> 00 (               11170)
 006b -> 01 (               11250)
 006c -> 20 (               11330)
 006d -> 00 (               11410)
 006e -> 04 (               11490)
 006f -> 80 (               11570)
 0070 -> 00 (               11650)
 0071 -> 10 (               11730)
 0072 -> 00 (               11810)
 0073 -> 02 (               11890)
 0074 -> 20 (               11970)
 0075 -> fc (               12050)
 0076 -> 20 (               12650)
 0077 -> 20 (               12730)
 0078 -> 04 (               12810)
 0079 -> 84 (               12890)
 007a -> 80 (               12970)
 007b -> 10 (               13050)
 007c -> 10 (               13130)
 007d -> 02 (               13210)
 007e -> 42 (               13290)
 007f -> 40 (               13370)
 0080 -> 08 (               13450)
 0081 -> 08 (               13530)
 0082 -> 01 (               13610)
 0083 -> 21 (               13690)
 0084 -> 20 (               13770)
 0085 -> 04 (               13850)
 0086 -> 84 (               13930)
 0087 -> 80 (               14010)
 0088 -> 10 (               14090)
 0089 -> 10 (               14170)
 008a -> 02 (               14250)
 008b -> 42 (               14330)
 008c -> 40 (               14410)
 008d -> 08 (               14490)
 008e -> 08 (               14570)
 008f -> 01 (               14650)
 0090 -> 21 (               14730)
 0091 -> 20 (               14810)
 0092 -> 04 (               14890)
 0093 -> 84 (               14970)
 0094 -> 80 (               15050)
 0095 -> 10 (               15130)
 0096 -> 10 (               15210)
 0097 -> 02 (               15290)
 0098 -> 02 (               15370)
 0099 -> fc (               15450)
 009a -> fd (               15530)
 009b -> 00 (               16130)
 009c -> 21 (               16210)
 009d -> 20 (               16290)
 009e -> 04 (               16370)
 009f -> 84 (               16450)
 00a0 -> 00 (               16530)
 00a1 -> 10 (               16610)
 00a2 -> 10 (               16690)
 00a3 -> 02 (               16770)
 00a4 -> 42 (               16850)
 00a5 -> 40 (               16930)
 00a6 -> 08 (               17010)
 00a7 -> 00 (               17090)
 00a8 -> 01 (               17170)
 00a9 -> 21 (               17250)
 00aa -> 20 (               17330)
 00ab -> 04 (               17410)
 00ac -> 84 (               17490)
 00ad -> 00 (               17570)
 00ae -> 10 (               17650)
 00af -> 10 (               17730)
 00b0 -> 02 (               17810)
 00b1 -> 42 (               17890)
