           0 ps U U U UUUUUUUUU
           0 ps 1 1 0 01010UUUU
           0 ps 1 1 0 010100000
        6000 ps 0 1 0 010100000
       12000 ps 1 1 0 010100000
       16000 ps 1 1 1 010100000
       18000 ps 0 1 1 010100000
       24000 ps 1 1 1 010100000
       30000 ps 0 1 1 010100000
       34000 ps 0 0 1 010100000
       36000 ps 1 0 1 010100000
       42000 ps 0 0 1 010100000
       42000 ps 0 0 1 010100001
       48000 ps 1 0 1 010100001
       54000 ps 0 0 1 010100001
       54000 ps 0 0 1 010100010
       60000 ps 1 0 1 010100010
       66000 ps 0 0 1 010100010
       66000 ps 0 0 1 010100011
       72000 ps 1 0 1 010100011
       78000 ps 0 0 1 010100011
       78000 ps 0 0 1 010100100
       84000 ps 1 0 1 010100100
       90000 ps 0 0 1 010100100
       90000 ps 0 0 1 010100101
       96000 ps 1 0 1 010100101
      102000 ps 0 0 1 010100101
      102000 ps 0 0 1 010100110
      108000 ps 1 0 1 010100110
      114000 ps 0 0 1 010100110
      114000 ps 0 0 1 010100111
      120000 ps 1 0 1 010100111
      126000 ps 0 0 1 010100111
      126000 ps 0 0 1 010101000
      132000 ps 1 0 1 010101000
      138000 ps 0 0 1 010101000
      138000 ps 0 0 1 010101001
      144000 ps 1 0 1 010101001
      150000 ps 0 0 1 010101001
      150000 ps 0 0 1 010101010
      156000 ps 1 0 1 010101010
      162000 ps 0 0 1 010101010
      162000 ps 0 0 1 010101011
      168000 ps 1 0 1 010101011
      174000 ps 0 0 1 010101011
      174000 ps 0 0 1 010101100
      176000 ps 0 0 1 110101100
      180000 ps 1 0 1 110101100
      186000 ps 0 0 1 110101100
      186000 ps 0 0 1 110101010
      191400 ps 0 0 1 010101010
      192000 ps 1 0 1 010101010
      198000 ps 0 0 1 010101010
      198000 ps 0 0 1 010101011
      204000 ps 1 0 1 010101011
      210000 ps 0 0 1 010101011
      210000 ps 0 0 1 010101100
      216000 ps 1 0 1 010101100
      222000 ps 0 0 1 010101100
      222000 ps 0 0 1 010101101
      228000 ps 1 0 1 010101101
      234000 ps 0 0 1 010101101
      234000 ps 0 0 1 010101110
      240000 ps 1 0 1 010101110
      246000 ps 0 0 1 010101110
      246000 ps 0 0 1 010101111
      252000 ps 1 0 1 010101111
      258000 ps 0 0 1 010101111
      258000 ps 0 0 1 010100000
      264000 ps 1 0 1 010100000
      270000 ps 0 0 1 010100000
      270000 ps 0 0 1 010100001
      276000 ps 1 0 1 010100001
      282000 ps 0 0 1 010100001
      282000 ps 0 0 1 010100010
      288000 ps 1 0 1 010100010
      294000 ps 0 0 1 010100010
      294000 ps 0 0 1 010100011
      300000 ps 1 0 1 010100011
      306000 ps 0 0 1 010100011
      306000 ps 0 0 1 010100100
      312000 ps 1 0 1 010100100
      318000 ps 0 0 1 010100100
      318000 ps 0 0 1 010100101
      321300 ps 0 0 1 110100101
      324000 ps 1 0 1 110100101
      330000 ps 0 0 1 110100101
      330000 ps 0 0 1 110101010
      332900 ps 0 0 1 010101010
      336000 ps 1 0 1 010101010
      342000 ps 0 0 1 010101010
      342000 ps 0 0 1 010101011
      348000 ps 1 0 1 010101011
      354000 ps 0 0 1 010101011
      354000 ps 0 0 1 010101100
      360000 ps 1 0 1 010101100
      366000 ps 0 0 1 010101100
      366000 ps 0 0 1 010101101
      372000 ps 1 0 1 010101101
      378000 ps 0 0 1 010101101
      378000 ps 0 0 1 010101110
      384000 ps 1 0 1 010101110
      390000 ps 0 0 1 010101110
      390000 ps 0 0 1 010101111
      396000 ps 1 0 1 010101111
