           0 ps U U U U U U U U UUU UUUUUUUUUU UUUUUU
           0 ps 0 0 0 1 1 1 0 X XXX XXXXXXXXXX XXXXXX
        2381 ps 0 0 0 1 1 1 0 U UUU UUUUUUUUUU UUUUUU
        2886 ps 0 0 0 1 1 1 0 U UUU 0UUUUUUUUU UUUUUU
        3534 ps 0 0 0 1 1 1 0 U U0U 0UUUUUUUUU UUUUUU
        3596 ps 0 0 0 1 1 1 0 U U0U 0UUUUUUUUU 0UUUUU
        3643 ps 0 0 0 1 1 1 0 U U0U 0UUUUUUU1U 0UUUUU
        3649 ps 0 0 0 1 1 1 0 U U0U 0U0UUUUU1U 0UUUUU
        3671 ps 0 0 0 1 1 1 0 U U0U 000UUUUU1U 0UUUUU
        3700 ps 0 0 0 1 1 1 0 U U0U 000UU1UU1U 0UUUUU
        3714 ps 0 0 0 1 1 1 0 U U0U 000UU11U1U 0UUUUU
        3737 ps 0 0 0 1 1 1 0 U 00U 000UU11U1U 0UUUUU
        3748 ps 0 0 0 1 1 1 0 U 00U 000UU11U1U 0UU1UU
        3811 ps 0 0 0 1 1 1 0 U 00U 000UU11U1U 00U1UU
        3815 ps 0 0 0 1 1 1 0 U 000 000UU11U1U 00U1UU
        3830 ps 0 0 0 1 1 1 0 U 000 000UU11U1U 0001UU
        3831 ps 0 0 0 1 1 1 0 U 000 0001U11U1U 0001UU
        3899 ps 0 0 0 1 1 1 0 U 000 0001011U1U 0001UU
        4002 ps 0 0 0 1 1 1 0 U 000 0001011U1U 0001U1
        4041 ps 0 0 0 1 1 1 0 U 000 000101101U 0001U1
        4043 ps 0 0 0 1 1 1 0 U 000 000101101U 000111
        4071 ps 0 0 0 1 1 1 0 U 000 0001011010 000111
        5105 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
      500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     1000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     1500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     2000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     2500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     3000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     3500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     4000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     4500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     5000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     5500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     6000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     6500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     7000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     7500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     8000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     8500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
     9000000 ps 0 0 0 1 1 1 0 0 000 0001011010 000111
     9500000 ps 0 0 0 1 1 1 1 0 000 0001011010 000111
    10000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    10500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    11000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    11500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    12000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    12500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    13000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    13500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    14000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    14500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    15000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    15500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    16000000 ps 0 0 1 1 1 1 0 0 000 0001011010 000111
    16500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
