 U U U U U U U U
 0 0 0 0 0 0 0 0
 0 0 0 1 1 0 0 0
 0 0 0 L L 0 0 0
 0 0 0 H H 0 0 0
 0 0 0 Z Z 0 0 0
 0 0 1 0 0 1 0 0
 0 0 1 1 1 1 0 0
 0 0 1 L L 1 0 0
 0 0 1 H H 1 0 0
 0 0 1 Z Z 1 0 0
 0 0 L 0 0 L 0 0
 0 0 L 1 1 L 0 0
 0 0 L L L L 0 0
 0 0 L H H L 0 0
 0 0 L Z Z L 0 0
 0 0 H 0 0 H 0 0
 0 0 H 1 1 H 0 0
 0 0 H L L H 0 0
 0 0 H H H H 0 0
 0 0 H Z Z H 0 0
 0 0 Z 0 0 Z 0 0
 0 0 Z 1 1 Z 0 0
 0 0 Z L L Z 0 0
 0 0 Z H H Z 0 0
 0 0 Z Z Z Z 0 0
 0 1 0 0 0 0 1 0
 0 1 0 1 1 0 1 0
 0 1 0 L L 0 1 0
 0 1 0 H H 0 1 0
 0 1 0 Z Z 0 1 0
 0 1 1 0 0 1 1 0
 0 1 1 1 1 1 1 0
 0 1 1 L L 1 1 0
 0 1 1 H H 1 1 0
 0 1 1 Z Z 1 1 0
 0 1 L 0 0 L 1 0
 0 1 L 1 1 L 1 0
 0 1 L L L L 1 0
 0 1 L H H L 1 0
 0 1 L Z Z L 1 0
 0 1 H 0 0 H 1 0
 0 1 H 1 1 H 1 0
 0 1 H L L H 1 0
 0 1 H H H H 1 0
 0 1 H Z Z H 1 0
 0 1 Z 0 0 Z 1 0
 0 1 Z 1 1 Z 1 0
 0 1 Z L L Z 1 0
 0 1 Z H H Z 1 0
 0 1 Z Z Z Z 1 0
 0 L 0 0 0 0 L 0
 0 L 0 1 1 0 L 0
 0 L 0 L L 0 L 0
 0 L 0 H H 0 L 0
 0 L 0 Z Z 0 L 0
 0 L 1 0 0 1 L 0
 0 L 1 1 1 1 L 0
 0 L 1 L L 1 L 0
 0 L 1 H H 1 L 0
 0 L 1 Z Z 1 L 0
 0 L L 0 0 L L 0
 0 L L 1 1 L L 0
